agent acc,demo acc,discriminator loss agent,discriminator loss demo,discriminator loss total,entropy loss,frac,kl,loss,max 100 episode reward,mean 100 episode reward,min 100 episode reward,num episodes,policy loss,reward signal mean,value loss
0.65625,0.46875,-0.6970161,-0.7025304,-1.3995465,0.68669283,0.0,-1.488626e-05,10.577076,34,25.4,14,5,0.051923037,0.4976849,21.06404
1.0,0.0,-18.420109,0.0,-18.420109,0.5766382,0.0,1.1670869e-05,-0.007519775,147,44.04,12,361,-0.0018963069,4.928802e-12,0.0002858272
1.0,0.0,-18.420609,0.0,-18.420609,0.48127782,0.0,0.00019175501,-0.12580472,200,83.61,17,620,-0.12109795,9.365843e-13,0.0002120343
1.0,0.0,-18.420649,0.0,-18.420649,0.5416177,0.0,-0.00021714554,-0.13393113,200,77.88,15,790,-0.12853815,3.7012998e-13,4.638111e-05
1.0,0.0,-18.420664,0.0,-18.420664,0.5754121,0.0,-8.703442e-06,0.1451672,91,36.74,12,1103,0.15090778,1.7109662e-13,2.7072589e-05
1.0,0.0,-18.42067,0.0,-18.42067,0.50738233,0.0,-0.0012863277,-0.16362137,68,35.35,19,1393,-0.15855652,9.416774e-14,1.7935861e-05
1.0,0.0,-18.420677,0.0,-18.420677,0.43218923,0.0,6.0079037e-05,0.17936134,173,65.87,23,1664,0.1835199,4.787138e-14,0.0003266559
1.0,0.0,-18.420677,0.0,-18.420677,0.45048517,0.0,-0.00017538154,-0.19925635,47,25.83,16,1958,-0.19476277,2.5832382e-14,2.2521195e-05
1.0,0.0,-18.420681,0.0,-18.420681,0.33616838,0.0,0.00048463722,0.11666327,200,75.54,30,2199,0.120006435,8.302985e-15,3.7044134e-05
1.0,0.0,-18.420677,0.0,-18.420677,0.33803767,0.0,-0.00041981708,-0.31169045,200,94.51,37,2341,-0.30835816,1.6707588e-14,9.621611e-05
1.0,0.0,-18.420681,0.0,-18.420681,0.38843527,0.0,-8.3981315e-05,0.27129972,152,70.36,22,2478,0.27515274,2.3473032e-15,6.2629624e-05
1.0,0.0,-18.420681,0.0,-18.420681,0.4163078,0.0,-3.895533e-05,-0.19353554,200,103.39,30,2609,-0.18938017,1.9049746e-15,1.5411184e-05
1.0,0.0,-18.420681,0.0,-18.420681,0.48974124,0.09375,0.00019319018,0.08585638,136,49.97,19,2833,0.09074644,1.1349742e-15,1.4712852e-05
1.0,0.0,-18.420681,0.0,-18.420681,0.42377266,0.0,0.0001537599,-0.10748571,145,49.36,21,3094,-0.103257865,6.155971e-16,1.975173e-05
1.0,0.0,-18.420681,0.0,-18.420681,0.39085457,0.0,0.00012345481,-0.06063125,200,117.28,51,3207,-0.056740288,3.9690418e-16,3.5163524e-05
1.0,0.0,-18.420681,0.0,-18.420681,0.35694316,0.0,-5.2595802e-05,-0.014564767,200,122.16,69,3312,-0.011001326,1.5798929e-16,1.1981587e-05
1.0,0.0,-18.420681,0.0,-18.420681,0.40470028,0.0,0.00034932958,-0.18470024,200,86.79,44,3458,-0.180665,8.0961434e-17,2.3549735e-05
1.0,0.0,-18.420681,0.0,-18.420681,0.43490785,0.0,-0.0006932353,-0.26022202,200,115.33,46,3572,-0.25588942,3.500657e-17,3.2975302e-05
1.0,0.0,-18.420681,0.0,-18.420681,0.3545096,0.03125,-0.0006412409,-0.11875077,165,69.14,37,3757,-0.115208715,1.8588729e-17,6.0749853e-06
1.0,0.0,-18.420681,0.0,-18.420681,0.4816031,0.0,-0.00012656394,-0.1368884,119,53.86,28,3961,-0.13207689,1.5883552e-17,9.036361e-06
1.0,0.0,-18.420681,0.0,-18.420681,0.5685495,0.0,-0.0005050417,-0.12789461,26,15.49,10,4556,-0.12221148,8.1282415e-18,4.7436956e-06
1.0,0.0,-18.420681,0.0,-18.420681,0.47992295,0.0,-0.00033023953,0.16967678,68,33.05,16,5157,0.17446199,5.930691e-18,2.8036546e-05
1.0,0.0,-18.420681,0.0,-18.420681,0.39212307,0.0,-0.00026179297,-0.16750945,138,58.15,24,5369,-0.16359898,4.2829766e-18,2.1502738e-05
1.0,0.0,-18.420681,0.0,-18.420681,0.5415659,0.0,-0.0010065661,-0.1589626,51,25.48,13,5731,-0.1535496,2.1991573e-18,5.307683e-06
1.0,0.0,-18.420681,0.0,-18.420681,0.42806247,0.0,-4.805246e-05,-0.08997517,200,65.9,29,6036,-0.08569805,1.7284479e-18,7.019816e-06
1.0,0.0,-18.420681,0.0,-18.420681,0.5021139,0.125,-8.5087144e-05,0.03795053,84,46.62,21,6322,0.042964466,1.2795627e-18,1.4409692e-05
1.0,0.0,-18.420681,0.0,-18.420681,0.46512052,0.0,-0.000894906,0.18529691,72,37.95,15,6621,0.18993962,9.055121e-19,1.69778e-05
1.0,0.0,-18.420681,0.0,-18.420681,0.46381947,0.0,-0.0003795999,0.1383924,69,43.73,16,6957,0.14301272,7.636551e-19,3.576622e-05
1.0,0.0,-18.420681,0.0,-18.420681,0.44452524,0.0,0.0002451962,-0.35974178,24,14.0,9,7659,-0.35530174,4.2002898e-19,1.040606e-05
1.0,0.0,-18.420681,0.0,-18.420681,0.10514383,0.0,0.0001645823,-0.2815876,12,9.59,8,8875,-0.2805386,3.682924e-19,4.818814e-06
