agent acc,demo acc,discriminator loss agent,discriminator loss demo,discriminator loss total,entropy loss,frac,kl,loss,max 100 episode reward,mean 100 episode reward,min 100 episode reward,num episodes,policy loss,reward signal mean,value loss
0.75,0.5,0.6811751,0.68362296,1.3647981,0.68502635,0.0,-1.4763325e-05,13.532215,47,30.25,14,4,0.017001286,0.49533138,27.044128
0.96875,0.6875,0.19292311,0.5863979,0.779321,0.6527972,0.0,0.00012927689,0.27032793,166,42.99,10,397,-0.21368682,0.16163957,0.9810854
0.71875,0.6875,0.5568632,0.572731,1.1295942,0.6283133,0.0,2.2080261e-05,39.223316,200,84.11,13,561,0.1840758,0.43185097,78.09105
0.5625,0.5625,0.675578,0.75309825,1.4286762,0.61081827,0.0,8.0274884e-05,8.850466,200,112.76,18,680,0.048515398,0.40955806,17.616117
0.84375,0.625,0.44037396,0.5723442,1.0127182,0.5811275,0.28125,-0.001619789,5.3524623,200,122.87,10,783,-0.2728397,0.29354623,11.262226
0.71875,0.59375,0.65998983,0.59685165,1.2568414,0.6444537,0.0,-0.00018010661,13.066135,200,104.84,11,903,-0.14662015,0.46557975,26.4384
0.75,0.625,0.5934924,0.63587785,1.2293702,0.5628481,0.21875,-0.0014141442,3.2954254,200,136.43,18,994,0.13092762,0.43464243,6.340253
0.6875,0.8125,0.6063481,0.54079425,1.1471424,0.5889828,0.03125,-0.000101530924,30.557877,200,149.32,12,1081,0.1488923,0.40784967,60.82975
0.71875,0.4375,0.61634374,0.7137273,1.330071,0.59184825,0.0,0.0005560082,52.879166,200,152.21,11,1167,0.2174725,0.39294815,105.33522
0.6875,0.65625,0.5775309,0.567245,1.1447759,0.5383152,0.03125,-0.0013163338,14.171152,200,157.01,11,1246,0.059660956,0.40978882,28.23375
0.9375,0.625,0.39945978,0.57857895,0.9780387,0.5417452,0.46875,0.00029932777,15.288607,200,152.67,11,1329,0.021791495,0.3509639,30.544466
0.78125,0.6875,0.53621167,0.6472361,1.1834478,0.6119975,0.03125,-0.00080085313,12.62868,200,121.51,9,1433,-0.045949504,0.40610325,25.3615
