agent acc,demo acc,discriminator loss agent,discriminator loss demo,discriminator loss total,entropy loss,frac,kl,loss,max 100 episode reward,mean 100 episode reward,min 100 episode reward,num episodes,policy loss,reward signal mean,value loss
0.8125,0.6875,0.6788308,0.6563749,1.3352057,0.685299,0.0,-2.5609508e-05,10.812586,34,25.75,17,4,0.077723145,0.4944928,21.48343
0.71875,0.65625,0.47506094,0.4917508,0.9668118,0.61609566,0.0,6.1683822e-06,5.0074854,172,62.03,12,354,-0.26666874,0.25077826,10.56063
0.6875,0.71875,0.5178458,0.5555937,1.0734396,0.60290945,0.03125,-0.0020213688,15.269517,200,100.95,18,481,0.1279804,0.28027764,30.295132
0.65625,0.75,0.6393959,0.48637658,1.1257725,0.59888136,0.15625,-0.00028854306,10.761361,200,119.98,14,588,0.12996162,0.3725751,21.274776
1.0,0.75,0.20025827,0.58064234,0.7809006,0.6235357,0.125,-0.00074410345,4.8905044,200,131.46,14,685,-0.12319213,0.1886746,10.039864
0.6875,0.6875,0.57068175,0.4974727,1.0681545,0.5820912,0.0,-0.00025347061,2.5057356,200,167.75,14,759,-0.014717191,0.43348598,5.0525475
0.84375,0.8125,0.41917664,0.54055417,0.9597308,0.5212688,0.25,0.0010708927,0.6511499,200,182.96,14,830,-0.30625015,0.32476383,1.9252255
0.84375,0.5,0.4223088,0.8167943,1.2391031,0.5508888,0.0,6.78146e-05,0.4857884,200,196.17,42,896,0.14187844,0.37077302,0.6988377
0.53125,0.34375,0.72154,0.8412961,1.562836,0.48377943,0.125,-0.0006568463,0.41802886,200,196.09,42,960,0.22836697,0.48509613,0.38899937
1.0,0.75,0.49886906,0.4615029,0.960372,0.47580084,0.0,0.0004884569,37.443436,200,196.5,150,1026,-0.037669577,0.38596478,74.971725
0.8125,0.4375,0.6868504,0.69273037,1.3795807,0.5401461,0.0,-0.001070711,0.89421755,200,194.69,121,1091,-0.010985665,0.455747,1.8212093
0.5,0.4375,0.6995391,0.65970266,1.3592417,0.50696754,0.0,-8.589978e-05,5.303292,200,197.59,121,1156,-0.05530388,0.49199444,10.727331
0.71875,0.5,0.5569849,0.65326345,1.2102484,0.52229756,0.0,-0.00067124004,-0.18434753,200,198.24,168,1220,-0.3829887,0.42111826,0.40772828
0.25,0.84375,0.7346013,0.60440254,1.3390038,0.539415,0.0,0.0003885565,9.835555,200,194.23,144,1287,0.119021244,0.5235548,19.443855
1.0,0.4375,0.4041209,0.71826935,1.1223903,0.5132271,0.1875,-0.00054043124,0.18751162,200,195.84,144,1351,0.0579844,0.34155643,0.269319
0.75,0.3125,0.6198443,0.8342737,1.454118,0.49627393,0.21875,0.00045705587,0.09161705,200,197.29,151,1416,-0.21902448,0.44790813,0.63120854
0.65625,0.4375,0.67972255,0.6403215,1.320044,0.53144926,0.34375,-0.0005763988,1.1482611,200,195.54,147,1482,-0.12283907,0.4816776,2.5528293
0.625,0.46875,0.7032239,0.6820717,1.3852956,0.5232228,0.3125,-0.00015568652,0.3636251,200,194.36,121,1548,0.11261724,0.4987448,0.51248014
0.8125,0.34375,0.5634478,0.9830682,1.546516,0.5291282,0.0,-0.0013596565,3.361666,200,187.75,20,1617,0.16298854,0.3511508,6.4079375
0.875,0.46875,0.52410567,0.6713035,1.1954092,0.50175226,0.09375,-0.0018870644,1.0687683,200,188.9,20,1683,0.21605036,0.41089422,1.7154708
0.8125,0.125,0.5119073,0.8752247,1.3871319,0.47137925,0.0,-0.00010826468,-0.1426765,200,191.23,133,1750,-0.24702741,0.37776366,0.2181294
0.6875,0.75,0.64043283,0.49490303,1.1353359,0.5392281,0.0,0.00014744303,15.134872,200,191.64,133,1816,0.14760906,0.44890442,29.985312
0.71875,0.40625,0.6193889,0.8619323,1.4813211,0.5254959,0.0,-0.0013630416,1.4838637,200,194.01,123,1882,0.032364763,0.47382182,2.913508
0.96875,0.4375,0.38782084,0.8025438,1.1903646,0.5524416,0.21875,0.0003162052,-0.09766885,200,191.3,123,1948,-0.15837082,0.31777257,0.13245279
0.84375,0.6875,0.5337064,0.44985706,0.9835635,0.46593004,0.28125,-0.0010231106,19.321684,200,195.66,154,2014,0.19186005,0.40116236,38.268967
0.75,0.4375,0.74494886,0.9365698,1.6815187,0.47177234,0.21875,-0.003037902,0.94336224,200,193.89,150,2080,-0.09692253,0.4413355,2.090005
0.40625,0.46875,0.79154503,0.75959706,1.5511421,0.5125747,0.03125,-9.31737e-05,1.5660418,200,189.68,105,2149,0.20812544,0.5003959,2.7260842
1.0,0.71875,0.30194888,0.4016934,0.70364225,0.45782748,0.125,-0.0012824645,31.983591,200,196.62,136,2215,0.061082155,0.26909396,63.85417
1.0,0.78125,0.27479228,0.44897395,0.7237662,0.44978124,0.3125,5.239091e-05,0.40704685,200,192.81,110,2281,-0.017609417,0.24954337,0.8583082
0.71875,0.53125,0.56104517,0.7107394,1.2717845,0.51107836,0.09375,-0.0016111498,0.90351564,200,182.41,15,2352,0.16248682,0.43666154,1.4922792
0.59375,0.5,0.63156843,0.709918,1.3414865,0.4377429,0.03125,4.4921617e-05,0.40451473,200,196.7,162,2417,0.17134812,0.44067734,0.47508806
0.875,0.9375,0.26139486,0.4045698,0.66596466,0.50577295,0.0,0.0007726626,2.818742,200,189.46,121,2486,-0.015782818,0.20488147,5.6791654
0.8125,0.40625,0.514519,0.8471008,1.3616197,0.52446777,0.0,-0.00056278927,0.020927818,200,187.37,21,2553,-0.098030664,0.38847739,0.24840632
0.65625,0.34375,0.69473517,0.92048216,1.6152173,0.5460286,0.0,0.00024146086,7.463815,200,197.55,142,2618,0.13724439,0.44464207,14.6640625
0.875,0.8125,0.30062836,0.63668334,0.9373117,0.5160943,0.0,-5.2446034e-05,4.5161386,200,192.74,115,2686,0.29029962,0.24267371,8.462
0.84375,0.65625,0.437755,0.6817108,1.1194658,0.53994584,0.0,-0.0010747559,2.8267386,200,188.99,115,2753,-0.009598136,0.34157997,5.6834726
0.15625,0.4375,1.7885275,0.8682748,2.6568022,0.58456653,0.0,-0.00022022589,13.239343,200,194.52,153,2818,-0.047698062,0.65604734,26.585773
0.625,0.59375,0.8721491,0.7731539,1.645303,0.497694,0.0,-3.2617245e-05,6.4646106,200,194.87,151,2885,0.091647305,0.46596596,12.75588
0.8125,0.4375,0.43934515,0.806651,1.2459961,0.56445915,0.0,3.391772e-05,0.9751388,200,190.15,111,2953,-0.20150226,0.34984046,2.3645713
0.3125,0.4375,1.197026,0.7936604,1.9906864,0.5076261,0.03125,-0.00059956836,6.2846365,200,189.74,67,3021,-0.043300487,0.58372027,12.666027
0.8125,0.375,0.56819427,0.8361733,1.4043676,0.5571054,0.0,0.00016388553,0.018622464,200,187.72,76,3088,-0.074004,0.42026174,0.19639504
0.75,0.5,0.5539805,0.69138706,1.2453675,0.51419395,0.03125,-0.0010534094,2.1644475,200,196.5,141,3153,0.17544049,0.4619908,3.9882982
0.65625,0.59375,0.53916144,0.6638772,1.2030387,0.47766593,0.0,0.00025567645,0.47065708,200,190.43,107,3222,0.058942404,0.36290368,0.83298266
0.875,0.625,0.4775861,0.64383876,1.1214249,0.5041381,0.03125,-0.00021987275,13.728396,200,197.93,168,3287,-0.017949618,0.37668443,27.502775
0.9375,0.5625,0.49446166,0.64166135,1.136123,0.49266094,0.0,-0.0006480243,0.16301872,200,193.38,136,3353,-0.0030372143,0.3919043,0.34196508
0.40625,0.78125,0.78282213,0.64071023,1.4235324,0.48511025,0.125,-0.0002955043,2.3027499,200,189.44,125,3421,-0.05421777,0.52746516,4.7236376
0.625,0.625,0.66674924,0.6423675,1.3091167,0.49629867,0.0,0.00026161293,1.7717444,200,192.3,126,3487,-0.14583032,0.49801707,3.8450754
